2026-04-30 15:19:17.876 [background-preinit] INFO  [NO_TRACE] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-30 15:19:26.305 [main] INFO  [NO_TRACE] c.a.n.client.ai.remote.AiGrpcClient - [f72dbc0f-95d0-466e-84a9-ff55b2e9f0b9] Release Agent Card data_analysis_agent, version 1.0.0.
2026-04-30 15:19:26.347 [main] INFO  [NO_TRACE] c.a.c.a.a.r.n.s.NacosA2aOperationService - Register agent card data_analysis_agent to Nacos namespace public successfully. 
2026-04-30 15:19:26.347 [main] INFO  [NO_TRACE] c.a.n.client.ai.remote.AiGrpcClient - [f72dbc0f-95d0-466e-84a9-ff55b2e9f0b9] REGISTER Agent endpoint AgentEndpoint{transport='JSONRPC', address='172.28.192.1', port=8881, path='/a2a', supportTls=false, version='1.0.0'} into agent data_analysis_agent
2026-04-30 15:19:26.367 [main] INFO  [NO_TRACE] c.a.c.a.a.c.r.AgentRegistryService - Auto register agent data_analysis_agent into Registry Nacos[127.0.0.1:8848] successfully.
2026-04-30 15:20:26.237 [MessageBroker-1] INFO  [NO_TRACE] o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2026-04-30 15:29:28.442 [background-preinit] INFO  [NO_TRACE] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-30 15:29:28.530 [main] INFO  [NO_TRACE] c.s.quickstart.QuickStartApplication - Starting QuickStartApplication using Java 21.0.3 with PID 41608 (D:\code\springAi\quickStart\target\classes started by zhuoqi in D:\code\springAi)
2026-04-30 15:29:28.531 [main] INFO  [NO_TRACE] c.s.quickstart.QuickStartApplication - The following 1 profile is active: "dev"
2026-04-30 15:29:28.836 [main] INFO  [NO_TRACE] c.a.c.n.c.NacosConfigDataLoader - [Nacos Config] Load config[dataId=AgentHelper-dev.yml, group=DEFAULT_GROUP] success
2026-04-30 15:29:28.836 [main] INFO  [NO_TRACE] c.a.c.n.c.NacosConfigDataLoader - [Nacos Config] Load config[dataId=AgentHelper.yml, group=DEFAULT_GROUP] success
2026-04-30 15:29:30.868 [main] INFO  [NO_TRACE] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-30 15:29:30.873 [main] INFO  [NO_TRACE] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-30 15:29:30.923 [main] INFO  [NO_TRACE] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 0 Redis repository interfaces.
2026-04-30 15:29:31.261 [main] INFO  [NO_TRACE] o.s.cloud.context.scope.GenericScope - BeanFactory id=dd5e37e6-aca4-3d5b-ad9d-f55a510569ab
2026-04-30 15:29:32.604 [main] INFO  [NO_TRACE] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8881 (http)
2026-04-30 15:29:32.770 [main] INFO  [NO_TRACE] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3930 ms
2026-04-30 15:29:34.787 [main] INFO  [NO_TRACE] c.s.ai.agent.factory.AgentFactory - Agent 创建器加载完成，数量=6
2026-04-30 15:29:35.199 [main] INFO  [NO_TRACE] org.redisson.Version - Redisson 3.38.1
2026-04-30 15:29:35.778 [redisson-netty-1-5] INFO  [NO_TRACE] o.r.connection.ConnectionsHolder - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
2026-04-30 15:29:35.886 [redisson-netty-1-19] INFO  [NO_TRACE] o.r.connection.ConnectionsHolder - 24 connections initialized for 127.0.0.1/127.0.0.1:6379
2026-04-30 15:29:37.230 [main] INFO  [NO_TRACE] c.a.nacos.client.ai.NacosAiService - Nacos client key init properties: 
	serverAddr=127.0.0.1:8848
	namespace=public
	username=nacos
	password=n***s

2026-04-30 15:29:37.232 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [RpcClientFactory] create a new rpc client of 6e80a14e-0c6a-4672-85ab-10b28359c1c6
2026-04-30 15:29:37.240 [main] INFO  [NO_TRACE] c.a.n.c.a.AbstractServerListManager - Load and match ServerListProvider com.alibaba.nacos.client.address.EndpointServerListProvider, match result: false
2026-04-30 15:29:37.240 [main] INFO  [NO_TRACE] c.a.n.c.a.AbstractServerListManager - Load and match ServerListProvider com.alibaba.nacos.client.address.PropertiesListProvider, match result: true
2026-04-30 15:29:37.240 [main] INFO  [NO_TRACE] c.a.n.c.a.AbstractServerListManager - Will use com.alibaba.nacos.client.address.PropertiesListProvider as ServerListProvider
2026-04-30 15:29:37.242 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [6e80a14e-0c6a-4672-85ab-10b28359c1c6] Registry connection listener to current client:com.alibaba.nacos.client.ai.remote.redo.AiGrpcRedoService
2026-04-30 15:29:37.242 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [6e80a14e-0c6a-4672-85ab-10b28359c1c6] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.NamingServerListManager
2026-04-30 15:29:37.243 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [6e80a14e-0c6a-4672-85ab-10b28359c1c6] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2026-04-30 15:29:37.243 [main] INFO  [NO_TRACE] c.a.n.c.r.client.grpc.GrpcClient - grpc client connection server: 127.0.0.1 ip, serverPort: 9848, grpcTslConfig: {"enableTls":false,"mutualAuthEnable":false,"trustAll":true}
2026-04-30 15:29:37.285 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [6e80a14e-0c6a-4672-85ab-10b28359c1c6] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1777534177259_172.17.0.1_38874
2026-04-30 15:29:37.286 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [6e80a14e-0c6a-4672-85ab-10b28359c1c6] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2026-04-30 15:29:37.286 [com.alibaba.nacos.client.remote.worker.0] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [6e80a14e-0c6a-4672-85ab-10b28359c1c6] Notify connected event to listeners.
2026-04-30 15:29:37.286 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [6e80a14e-0c6a-4672-85ab-10b28359c1c6] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda/0x000002a1044862d8
2026-04-30 15:29:37.286 [com.alibaba.nacos.client.remote.worker.0] INFO  [NO_TRACE] c.a.n.c.a.r.redo.AiGrpcRedoService - Grpc connection connect
2026-04-30 15:29:37.286 [main] INFO  [NO_TRACE] c.a.n.p.a.s.c.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2026-04-30 15:29:37.286 [main] INFO  [NO_TRACE] c.a.n.p.a.s.c.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2026-04-30 15:29:39.006 [main] INFO  [NO_TRACE] o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2026-04-30 15:29:39.006 [main] INFO  [NO_TRACE] o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@24fbafbd]]
2026-04-30 15:29:39.007 [main] INFO  [NO_TRACE] o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-04-30 15:29:39.022 [main] INFO  [NO_TRACE] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8881 (http) with context path '/'
2026-04-30 15:29:39.040 [main] INFO  [NO_TRACE] c.s.quickstart.QuickStartApplication - Started QuickStartApplication in 12.727 seconds (process running for 14.373)
2026-04-30 15:29:39.048 [main] INFO  [NO_TRACE] c.a.n.client.config.impl.CacheData - config listener notify warn timeout millis use default 60000 millis 
2026-04-30 15:29:39.049 [main] INFO  [NO_TRACE] c.a.n.client.config.impl.CacheData - nacos.cache.data.init.snapshot = true 
2026-04-30 15:29:39.050 [main] INFO  [NO_TRACE] c.a.n.c.config.impl.ClientWorker - [Config-fixed-f95c5f7f-d08c-4df8-bff2-8d835513e809-127.0.0.1_8848] [subscribe] AgentHelper.yml+DEFAULT_GROUP+f95c5f7f-d08c-4df8-bff2-8d835513e809
2026-04-30 15:29:39.056 [main] INFO  [NO_TRACE] c.a.n.client.config.impl.CacheData - [Config-fixed-f95c5f7f-d08c-4df8-bff2-8d835513e809-127.0.0.1_8848] [add-listener] ok, tenant=f95c5f7f-d08c-4df8-bff2-8d835513e809, dataId=AgentHelper.yml, group=DEFAULT_GROUP, cnt=1
2026-04-30 15:29:39.057 [main] INFO  [NO_TRACE] c.a.c.n.r.NacosContextRefresher - [Nacos Config] Listening config: dataId=AgentHelper.yml, group=DEFAULT_GROUP
2026-04-30 15:29:39.057 [main] INFO  [NO_TRACE] c.a.n.c.config.impl.ClientWorker - [Config-fixed-f95c5f7f-d08c-4df8-bff2-8d835513e809-127.0.0.1_8848] [subscribe] AgentHelper-dev.yml+DEFAULT_GROUP+f95c5f7f-d08c-4df8-bff2-8d835513e809
2026-04-30 15:29:39.058 [main] INFO  [NO_TRACE] c.a.n.client.config.impl.CacheData - [Config-fixed-f95c5f7f-d08c-4df8-bff2-8d835513e809-127.0.0.1_8848] [add-listener] ok, tenant=f95c5f7f-d08c-4df8-bff2-8d835513e809, dataId=AgentHelper-dev.yml, group=DEFAULT_GROUP, cnt=1
2026-04-30 15:29:39.058 [main] INFO  [NO_TRACE] c.a.c.n.r.NacosContextRefresher - [Nacos Config] Listening config: dataId=AgentHelper-dev.yml, group=DEFAULT_GROUP
2026-04-30 15:29:39.058 [main] INFO  [NO_TRACE] c.a.c.a.a.c.r.AgentRegistryService - Auto register agent data_analysis_agent into Registry Nacos[127.0.0.1:8848].
2026-04-30 15:29:39.062 [main] INFO  [NO_TRACE] c.a.c.a.a.r.n.s.NacosA2aOperationService - Register agent card data_analysis_agent to Nacos namespace public. 
2026-04-30 15:29:39.062 [main] INFO  [NO_TRACE] c.a.n.client.ai.remote.AiGrpcClient - [6e80a14e-0c6a-4672-85ab-10b28359c1c6] Release Agent Card data_analysis_agent, version 1.0.0.
2026-04-30 15:29:39.122 [main] INFO  [NO_TRACE] c.a.c.a.a.r.n.s.NacosA2aOperationService - Register agent card data_analysis_agent to Nacos namespace public successfully. 
2026-04-30 15:29:39.122 [main] INFO  [NO_TRACE] c.a.n.client.ai.remote.AiGrpcClient - [6e80a14e-0c6a-4672-85ab-10b28359c1c6] REGISTER Agent endpoint AgentEndpoint{transport='JSONRPC', address='172.28.192.1', port=8881, path='/a2a', supportTls=false, version='1.0.0'} into agent data_analysis_agent
2026-04-30 15:29:39.145 [main] INFO  [NO_TRACE] c.a.c.a.a.c.r.AgentRegistryService - Auto register agent data_analysis_agent into Registry Nacos[127.0.0.1:8848] successfully.
